peak_date,trough_date,recovery_date,max_drawdown,peak_to_trough_days,recovery_days
2017-12-16,2018-12-15,2020-11-30,-0.8339900882218974,364,1080.0
2021-11-08,2022-11-21,2024-03-04,-0.7663456370856909,378,847.0
2014-09-17,2015-01-14,2015-12-15,-0.610562540667337,119,454.0
2021-04-13,2021-07-20,2021-10-19,-0.5306185040984174,98,189.0
2025-10-06,2026-06-30,,-0.5305998300134692,267,
2017-09-01,2017-09-14,2017-10-12,-0.3550810193918734,13,41.0
2017-06-11,2017-07-16,2017-08-05,-0.3476172704162839,35,55.0
2017-01-04,2017-01-11,2017-02-23,-0.32645983719306676,7,50.0
2016-06-16,2016-08-02,2016-12-02,-0.28558094302037634,47,169.0
2025-01-21,2025-04-08,2025-05-18,-0.2814447811620786,77,117.0
2017-03-03,2017-03-24,2017-04-26,-0.264684407946677,21,54.0
2024-03-13,2024-09-06,2024-11-06,-0.2618203300847661,177,238.0
2021-01-08,2021-01-27,2021-02-08,-0.2540605358693276,19,31.0
2015-12-15,2016-01-15,2016-04-26,-0.21703301081564175,31,133.0
2021-02-21,2021-02-28,2021-03-11,-0.21554027752187918,7,18.0
