,Breakout Strategy,BTC Buy&Hold,SPY Buy&Hold
Total Return,21.982218695372474,174.4238058508384,3.6921431898711985
CAGR,0.2990651477447208,0.5392413654817012,0.1381718133418388
Volatility (ann.),0.31513248701387897,0.6621717158695325,0.17481922110461057
Sharpe,0.9860780981838146,0.985324666241765,0.8283753753094452
Sortino,0.5722834263939172,1.3084532228427712,1.0170981697432224
Max Drawdown,-0.3356960448152692,-0.8339900882218971,-0.33717249624521145
Drawdown Trough,2017-12-30,2018-12-15,2020-03-23
Drawdown Recovery,2019-06-16,2020-11-30,2020-08-10
Win Rate,0.09101303453007088,0.5236679624971415,0.5471760797342192
Final Equity,22.982218695372474,175.4238058508384,4.6921431898711985
