type,start_date,end_date,start_price,end_price,return,duration_days
bear,2014-11-12,2015-01-14,423.48202,175.0,-0.5867593150708028,63
bear,2015-03-09,2015-04-15,296.99983,220.10885,-0.25889233673972134,37
bear,2015-07-12,2015-08-24,310.7575,212.70097,-0.31554034898594563,43
bear,2016-06-19,2016-08-02,765.49,540.0,-0.2945694914368574,44
bear,2017-03-03,2017-03-24,1289.2,921.302,-0.28536922122246355,21
bear,2017-06-11,2017-07-16,2941.8,1911.78,-0.3501325718947583,35
bear,2017-12-16,2018-04-06,19356.9,6619.01,-0.6580542338907573,111
bear,2018-05-05,2018-06-28,9861.2,5851.66,-0.4065975743317244,54
bear,2018-07-24,2018-12-15,8401.8,3183.0,-0.6211526101549667,144
bear,2019-06-26,2019-12-17,12876.0,6616.62,-0.4861276794035415,174
bear,2020-02-14,2020-03-12,10364.04,4857.1,-0.5313507087969556,27
bear,2021-04-13,2021-07-20,63587.2,29796.16,-0.5314126113431634,98
bear,2021-11-08,2022-01-22,67554.84,35066.43,-0.48091905776107235,75
bear,2022-03-29,2022-06-18,47440.2,18948.89,-0.6005731426090108,81
bear,2022-08-13,2022-09-21,24456.49,18462.64,-0.24508218472887977,39
bear,2022-11-05,2022-11-21,21300.45,15760.14,-0.2601029555713612,16
bear,2023-07-13,2023-09-11,31471.83,25152.14,-0.2008046561003921,60
bear,2024-03-13,2024-05-01,73135.04,58265.59,-0.203314991008414,49
bear,2024-07-28,2024-09-06,68244.3,53950.01,-0.20945763968565878,40
bear,2025-01-21,2025-04-08,106159.26,76251.64,-0.2817240813472136,77
bear,2025-10-06,2025-11-22,124720.09,84679.9,-0.32104041939033245,47
bear,2026-01-14,2026-02-05,96955.16,62791.0,-0.35237072477627807,22
bear,2026-05-10,2026-06-30,82199.99,58523.93,-0.2880299620474407,51
