type,start_date,end_date,start_price,end_price,return,duration_days
bear,2014-11-12,2015-01-14,423.48202,175.0,-0.5867593150708028,63
bull,2015-01-14,2015-03-09,175.0,296.99983,0.6971418857142855,54
bear,2015-03-09,2015-04-15,296.99983,220.10885,-0.25889233673972134,37
bull,2015-04-15,2015-07-12,220.10885,310.7575,0.4118355531819824,88
bear,2015-07-12,2015-08-24,310.7575,212.70097,-0.31554034898594563,43
bull,2015-08-24,2016-06-19,212.70097,765.49,2.5989022523028456,300
bear,2016-06-19,2016-08-02,765.49,540.0,-0.2945694914368574,44
bull,2016-08-02,2017-03-03,540.0,1289.2,1.3874074074074074,213
bear,2017-03-03,2017-03-24,1289.2,921.302,-0.28536922122246355,21
bull,2017-03-24,2017-06-11,921.302,2941.8,2.19308977946428,79
bear,2017-06-11,2017-07-16,2941.8,1911.78,-0.3501325718947583,35
bull,2017-07-16,2017-12-16,1911.78,19356.9,9.125066691774158,153
bear,2017-12-16,2018-04-06,19356.9,6619.01,-0.6580542338907573,111
bull,2018-04-06,2018-05-05,6619.01,9861.2,0.48983005011323444,29
bear,2018-05-05,2018-06-28,9861.2,5851.66,-0.4065975743317244,54
bull,2018-06-28,2018-07-24,5851.66,8401.8,0.4357977052665396,26
bear,2018-07-24,2018-12-15,8401.8,3183.0,-0.6211526101549667,144
bull,2018-12-15,2019-06-26,3183.0,12876.0,3.045240339302545,193
bear,2019-06-26,2019-12-17,12876.0,6616.62,-0.4861276794035415,174
bull,2019-12-17,2020-02-14,6616.62,10364.04,0.5663646998014094,59
bear,2020-02-14,2020-03-12,10364.04,4857.1,-0.5313507087969556,27
bull,2020-03-12,2021-04-13,4857.1,63587.2,12.09159786704,397
bear,2021-04-13,2021-07-20,63587.2,29796.16,-0.5314126113431634,98
bull,2021-07-20,2021-11-08,29796.16,67554.84,1.267233093123409,111
bear,2021-11-08,2022-01-22,67554.84,35066.43,-0.48091905776107235,75
bull,2022-01-22,2022-03-29,35066.43,47440.2,0.3528665450118531,66
bear,2022-03-29,2022-06-18,47440.2,18948.89,-0.6005731426090108,81
bull,2022-06-18,2022-08-13,18948.89,24456.49,0.29065554763366097,56
bear,2022-08-13,2022-09-21,24456.49,18462.64,-0.24508218472887977,39
bull,2022-09-21,2022-11-05,18462.64,21300.45,0.15370553723627833,45
bear,2022-11-05,2022-11-21,21300.45,15760.14,-0.2601029555713612,16
bull,2022-11-21,2023-04-14,15760.14,30492.92,0.9348127618155675,144
bull,2023-06-14,2023-07-13,25123.34,31471.83,0.25269291423831386,29
bear,2023-07-13,2023-09-11,31471.83,25152.14,-0.2008046561003921,60
bull,2023-09-11,2024-03-13,25152.14,73135.04,1.9077064615575452,184
bear,2024-03-13,2024-05-01,73135.04,58265.59,-0.203314991008414,49
bull,2024-05-01,2024-07-28,58265.59,68244.3,0.17126248957575152,88
bear,2024-07-28,2024-09-06,68244.3,53950.01,-0.20945763968565878,40
bull,2024-09-06,2025-01-21,53950.01,106159.26,0.9677338335989185,137
bear,2025-01-21,2025-04-08,106159.26,76251.64,-0.2817240813472136,77
bull,2025-04-08,2025-05-22,76251.64,111722.53,0.4651819947741451,44
bull,2025-06-22,2025-08-13,100996.87,123365.63,0.221479734966044,52
bull,2025-08-31,2025-10-06,108247.95,124720.09,0.15217045680772712,36
bear,2025-10-06,2025-11-22,124720.09,84679.9,-0.32104041939033245,47
bull,2025-11-22,2026-01-14,84679.9,96955.16,0.14496072857903708,53
bear,2026-01-14,2026-02-05,96955.16,62791.0,-0.35237072477627807,22
bull,2026-02-05,2026-05-10,62791.0,82199.99,0.309104648755395,94
bear,2026-05-10,2026-06-30,82199.99,58523.93,-0.2880299620474407,51
