peak_date,trough_date,recovery_date,max_drawdown,peak_to_trough_days,recovery_days
2017-12-16,2018-12-15,2020-11-30,-0.8355625125924089,364,1080.0
2021-11-08,2022-11-21,2024-03-04,-0.7667059828725817,378,847.0
2014-09-18,2015-01-14,2016-05-28,-0.6522129481437382,118,618.0
2021-04-13,2021-07-20,2021-10-19,-0.5314126113431634,98,189.0
2025-10-06,2026-06-30,,-0.5307577953158951,267,
2017-06-11,2017-07-16,2017-08-05,-0.3501325718947584,35,55.0
2017-09-01,2017-09-14,2017-10-12,-0.3395777881626267,13,41.0
2017-01-04,2017-01-11,2017-02-23,-0.29596567283022207,7,50.0
2016-06-19,2016-08-02,2016-12-02,-0.2945694914368574,44,166.0
2017-03-03,2017-03-24,2017-04-20,-0.28536922122246355,21,48.0
2025-01-21,2025-04-08,2025-05-18,-0.2817240813472135,77,117.0
2024-03-13,2024-09-06,2024-11-06,-0.2623233678411879,177,238.0
2021-01-08,2021-01-27,2021-02-08,-0.2500142607415927,19,31.0
2021-02-21,2021-02-28,2021-03-11,-0.21321254302550263,7,18.0
2017-11-04,2017-11-12,2017-11-16,-0.2012985250817513,8,12.0
