fund,quarter,sector,weight
AC,2009Q4,Consumer Discretionary,0.1841
AC,2009Q4,Financials,0.3982
AC,2009Q4,Industrials,0.0029
AC,2009Q4,Real Estate,0.2942
AC,2009Q4,Unknown,0.1165
AC,2010Q1,Consumer Discretionary,0.2324
AC,2010Q1,Consumer Staples,0.027200000000000002
AC,2010Q1,Financials,0.3759
AC,2010Q1,Real Estate,0.2351
AC,2010Q1,Unknown,0.0797
AC,2010Q2,Consumer Discretionary,0.2185
AC,2010Q2,Consumer Staples,0.07629999999999999
AC,2010Q2,Financials,0.3372
AC,2010Q2,Real Estate,0.2266
AC,2010Q2,Unknown,0.0641
AC,2010Q3,Consumer Discretionary,0.224
AC,2010Q3,Consumer Staples,0.0789
AC,2010Q3,Financials,0.3379
AC,2010Q3,Real Estate,0.25
AC,2010Q3,Unknown,0.0477
AC,2010Q4,Consumer Discretionary,0.2203
AC,2010Q4,Consumer Staples,0.07519999999999999
AC,2010Q4,Financials,0.3609
AC,2010Q4,Healthcare,0.0092
AC,2010Q4,Real Estate,0.253
AC,2010Q4,Unknown,0.0335
AC,2011Q1,Consumer Discretionary,0.2276
AC,2011Q1,Consumer Staples,0.0797
AC,2011Q1,Financials,0.3612
AC,2011Q1,Healthcare,0.008
AC,2011Q1,Real Estate,0.24639999999999998
AC,2011Q1,Unknown,0.0376
AC,2011Q2,Consumer Discretionary,0.263
AC,2011Q2,Consumer Staples,0.0886
AC,2011Q2,Financials,0.3596
AC,2011Q2,Healthcare,0.0157
AC,2011Q2,Real Estate,0.2098
AC,2011Q2,Unknown,0.0252
AC,2011Q3,Consumer Discretionary,0.2595
AC,2011Q3,Consumer Staples,0.1015
AC,2011Q3,Financials,0.4142
AC,2011Q3,Healthcare,0.0069
AC,2011Q3,Real Estate,0.1908
AC,2011Q4,Consumer Discretionary,0.2668
AC,2011Q4,Consumer Staples,0.09699999999999999
AC,2011Q4,Financials,0.4163
AC,2011Q4,Healthcare,0.0059
AC,2011Q4,Real Estate,0.1885
AC,2012Q1,Consumer Discretionary,0.2424
AC,2012Q1,Consumer Staples,0.0727
AC,2012Q1,Financials,0.46199999999999997
AC,2012Q1,Real Estate,0.1642
AC,2012Q2,Communication Services,0.0489
AC,2012Q2,Consumer Discretionary,0.2043
AC,2012Q2,Consumer Staples,0.06559999999999999
AC,2012Q2,Financials,0.45399999999999996
AC,2012Q2,Real Estate,0.1436
AC,2012Q2,Technology,0.0165
AC,2012Q3,Communication Services,0.0414
AC,2012Q3,Consumer Discretionary,0.1671
AC,2012Q3,Consumer Staples,0.0576
AC,2012Q3,Financials,0.483
AC,2012Q3,Industrials,0.0291
AC,2012Q3,Real Estate,0.1369
AC,2012Q3,Technology,0.018500000000000003
AC,2012Q4,Communication Services,0.0358
AC,2012Q4,Consumer Discretionary,0.1276
AC,2012Q4,Consumer Staples,0.06570000000000001
AC,2012Q4,Financials,0.4974
AC,2012Q4,Healthcare,0.0352
AC,2012Q4,Industrials,0.0291
AC,2012Q4,Real Estate,0.13640000000000002
AC,2012Q4,Technology,0.0134
AC,2013Q1,Communication Services,0.0513
AC,2013Q1,Consumer Discretionary,0.11430000000000001
AC,2013Q1,Consumer Staples,0.068
AC,2013Q1,Financials,0.46
AC,2013Q1,Healthcare,0.0426
AC,2013Q1,Industrials,0.0279
AC,2013Q1,Real Estate,0.0934
