fund,quarter,quarter_label,portfolio_value,rank,ticker,company,weight
psc,2026Q2,2026   Q2,$19.5 B,1,UBER,Uber Technologies Inc.,0.1272
psc,2026Q2,2026   Q2,$19.5 B,2,BN,Brookfield Corp.,0.1258
psc,2026Q2,2026   Q2,$19.5 B,3,MSFT,Microsoft Corp.,0.1189
psc,2026Q2,2026   Q2,$19.5 B,4,AMZN,Amazon.com Inc.,0.10490000000000001
psc,2026Q2,2026   Q2,$19.5 B,5,HHH,Howard Hughes Holdings Inc.,0.1023
psc,2026Q2,2026   Q2,$19.5 B,6,QSR,Restaurant Brands International,0.0962
psc,2026Q2,2026   Q2,$19.5 B,7,META,Meta Platforms Inc.,0.0925
psc,2026Q2,2026   Q2,$19.5 B,8,V,Visa Inc.,0.0576
psc,2026Q2,2026   Q2,$19.5 B,9,MA,Mastercard Inc.,0.056100000000000004
psc,2026Q2,2026   Q2,$19.5 B,10,SPGI,S&P Global Inc.,0.054299999999999994
psc,2026Q2,2026   Q2,$19.5 B,11,NFLX,Netflix Inc.,0.048
psc,2026Q2,2026   Q2,$19.5 B,12,PSUS,Pershing Square Usa Ltd,0.0077
psc,2026Q2,2026   Q2,$19.5 B,13,SEG,Seaport Entertainment Group,0.0069
psc,2026Q2,2026   Q2,$19.5 B,14,HTZ,Hertz Global Hldgs Inc.,0.0017000000000000001
psc,2026Q1,2026   Q1,$13.7 B,1,BN,Brookfield Corp.,0.17620000000000002
psc,2026Q1,2026   Q1,$13.7 B,2,AMZN,Amazon.com Inc.,0.1739
psc,2026Q1,2026   Q1,$13.7 B,3,UBER,Uber Technologies Inc.,0.15710000000000002
psc,2026Q1,2026   Q1,$13.7 B,4,MSFT,Microsoft Corp.,0.15259999999999999
psc,2026Q1,2026   Q1,$13.7 B,5,QSR,Restaurant Brands International,0.122
psc,2026Q1,2026   Q1,$13.7 B,6,META,Meta Platforms Inc.,0.111
psc,2026Q1,2026   Q1,$13.7 B,7,HHH,Howard Hughes Holdings Inc.,0.087
psc,2026Q1,2026   Q1,$13.7 B,8,SEG,Seaport Entertainment Group,0.0079
psc,2026Q1,2026   Q1,$13.7 B,9,GOOG,Alphabet Inc. CL C,0.006500000000000001
psc,2026Q1,2026   Q1,$13.7 B,10,HTZ,Hertz Global Hldgs Inc.,0.0051
psc,2026Q1,2026   Q1,$13.7 B,11,GOOGL,Alphabet Inc.,0.0007000000000000001
psc,2025Q4,2025   Q4,$15.5 B,1,BN,Brookfield Corp.,0.1815
psc,2025Q4,2025   Q4,$15.5 B,2,UBER,Uber Technologies Inc.,0.159
psc,2025Q4,2025   Q4,$15.5 B,3,AMZN,Amazon.com Inc.,0.14279999999999998
psc,2025Q4,2025   Q4,$15.5 B,4,GOOG,Alphabet Inc. CL C,0.1246
psc,2025Q4,2025   Q4,$15.5 B,5,META,Meta Platforms Inc.,0.1137
psc,2025Q4,2025   Q4,$15.5 B,6,QSR,Restaurant Brands International,0.1005
psc,2025Q4,2025   Q4,$15.5 B,7,HHH,Howard Hughes Holdings Inc.,0.0969
psc,2025Q4,2025   Q4,$15.5 B,8,HLT,Hilton Worldwide Holdings,0.055999999999999994
psc,2025Q4,2025   Q4,$15.5 B,9,GOOGL,Alphabet Inc.,0.0137
psc,2025Q4,2025   Q4,$15.5 B,10,SEG,Seaport Entertainment Group,0.0064
psc,2025Q4,2025   Q4,$15.5 B,11,HTZ,Hertz Global Hldgs Inc.,0.005
psc,2025Q3,2025   Q3,$14.6 B,1,UBER,Uber Technologies Inc.,0.2025
psc,2025Q3,2025   Q3,$14.6 B,2,BN,Brookfield Corp.,0.19210000000000002
psc,2025Q3,2025   Q3,$14.6 B,3,HHH,Howard Hughes Holdings Inc.,0.1058
psc,2025Q3,2025   Q3,$14.6 B,4,GOOG,Alphabet Inc. CL C,0.1052
psc,2025Q3,2025   Q3,$14.6 B,5,QSR,Restaurant Brands International,0.10039999999999999
psc,2025Q3,2025   Q3,$14.6 B,6,AMZN,Amazon.com Inc.,0.0873
psc,2025Q3,2025   Q3,$14.6 B,7,GOOGL,Alphabet Inc.,0.08039999999999999
psc,2025Q3,2025   Q3,$14.6 B,8,CMG,Chipotle Mexican Grill Inc.,0.057699999999999994
psc,2025Q3,2025   Q3,$14.6 B,9,HLT,Hilton Worldwide Holdings,0.0537
psc,2025Q3,2025   Q3,$14.6 B,10,SEG,Seaport Entertainment Group,0.0079
psc,2025Q3,2025   Q3,$14.6 B,11,HTZ,Hertz Global Hldgs Inc.,0.0070999999999999995
psc,2025Q2,2025   Q2,$13.7 B,1,UBER,Uber Technologies Inc.,0.2059
psc,2025Q2,2025   Q2,$13.7 B,2,BN,Brookfield Corp.,0.18539999999999998
psc,2025Q2,2025   Q2,$13.7 B,3,QSR,Restaurant Brands International,0.11109999999999999
psc,2025Q2,2025   Q2,$13.7 B,4,AMZN,Amazon.com Inc.,0.0931
psc,2025Q2,2025   Q2,$13.7 B,5,HHH,Howard Hughes Holdings Inc.,0.09269999999999999
psc,2025Q2,2025   Q2,$13.7 B,6,CMG,Chipotle Mexican Grill Inc.,0.08810000000000001
psc,2025Q2,2025   Q2,$13.7 B,7,GOOG,Alphabet Inc. CL C,0.0817
psc,2025Q2,2025   Q2,$13.7 B,8,GOOGL,Alphabet Inc.,0.0688
psc,2025Q2,2025   Q2,$13.7 B,9,HLT,Hilton Worldwide Holdings,0.0588
psc,2025Q2,2025   Q2,$13.7 B,10,HTZ,Hertz Global Hldgs Inc.,0.0076
psc,2025Q2,2025   Q2,$13.7 B,11,SEG,Seaport Entertainment Group,0.0068000000000000005
psc,2025Q1,2025   Q1,$11.9 B,1,UBER,Uber Technologies Inc.,0.185
psc,2025Q1,2025   Q1,$11.9 B,2,BN,Brookfield Corp.,0.1801
psc,2025Q1,2025   Q1,$11.9 B,3,QSR,Restaurant Brands International,0.1285
psc,2025Q1,2025   Q1,$11.9 B,4,HHH,Howard Hughes Holdings Inc.,0.11710000000000001
psc,2025Q1,2025   Q1,$11.9 B,5,CMG,Chipotle Mexican Grill Inc.,0.0907
psc,2025Q1,2025   Q1,$11.9 B,6,CP,Canadian Pacific Kansas City,0.08710000000000001
psc,2025Q1,2025   Q1,$11.9 B,7,GOOG,Alphabet Inc. CL C,0.0828
psc,2025Q1,2025   Q1,$11.9 B,8,GOOGL,Alphabet Inc.,0.0575
psc,2025Q1,2025   Q1,$11.9 B,9,HLT,Hilton Worldwide Holdings,0.0572
psc,2025Q1,2025   Q1,$11.9 B,10,SEG,Seaport Entertainment Group,0.009000000000000001
psc,2025Q1,2025   Q1,$11.9 B,11,HTZ,Hertz Global Hldgs Inc.,0.005
psc,2024Q4,2024   Q4,$12.7 B,1,BN,Brookfield Corp.,0.1583
psc,2024Q4,2024   Q4,$12.7 B,2,QSR,Restaurant Brands International,0.1184
psc,2024Q4,2024   Q4,$12.7 B,3,CMG,Chipotle Mexican Grill Inc.,0.1174
psc,2024Q4,2024   Q4,$12.7 B,4,HHH,Howard Hughes Holdings Inc.,0.11449999999999999
psc,2024Q4,2024   Q4,$12.7 B,5,GOOG,Alphabet Inc. CL C,0.11349999999999999
psc,2024Q4,2024   Q4,$12.7 B,6,NKE,NIKE Inc.,0.11220000000000001
psc,2024Q4,2024   Q4,$12.7 B,7,HLT,Hilton Worldwide Holdings,0.10619999999999999
psc,2024Q4,2024   Q4,$12.7 B,8,CP,Canadian Pacific Kansas City,0.085
psc,2024Q4,2024   Q4,$12.7 B,9,GOOGL,Alphabet Inc.,0.0596
psc,2024Q4,2024   Q4,$12.7 B,10,SEG,Seaport Entertainment Group,0.0111
psc,2024Q4,2024   Q4,$12.7 B,11,HTZ,Hertz Global Hldgs Inc.,0.0037
psc,2024Q3,2024   Q3,$12.9 B,1,BN,Brookfield Corp.,0.1348
psc,2024Q3,2024   Q3,$12.9 B,2,HLT,Hilton Worldwide Holdings,0.1316
psc,2024Q3,2024   Q3,$12.9 B,3,CMG,Chipotle Mexican Grill Inc.,0.1286
