fund,quarter,quarter_label,portfolio_value,rank,ticker,company,weight,sector
psc,2026Q2,2026   Q2,$19.5 B,1,UBER,Uber Technologies Inc.,0.1272,Consumer Discretionary
psc,2026Q2,2026   Q2,$19.5 B,2,BN,Brookfield Corp.,0.1258,Financials
psc,2026Q2,2026   Q2,$19.5 B,3,MSFT,Microsoft Corp.,0.1189,Technology
psc,2026Q2,2026   Q2,$19.5 B,4,AMZN,Amazon.com Inc.,0.10490000000000001,Consumer Discretionary
psc,2026Q2,2026   Q2,$19.5 B,5,HHH,Howard Hughes Holdings Inc.,0.1023,Real Estate
psc,2026Q2,2026   Q2,$19.5 B,6,QSR,Restaurant Brands International,0.0962,Consumer Discretionary
psc,2026Q2,2026   Q2,$19.5 B,7,META,Meta Platforms Inc.,0.0925,Communication Services
psc,2026Q2,2026   Q2,$19.5 B,8,V,Visa Inc.,0.0576,Financials
psc,2026Q2,2026   Q2,$19.5 B,9,MA,Mastercard Inc.,0.056100000000000004,Financials
psc,2026Q2,2026   Q2,$19.5 B,10,SPGI,S&P Global Inc.,0.054299999999999994,Financials
psc,2026Q2,2026   Q2,$19.5 B,11,NFLX,Netflix Inc.,0.048,Communication Services
psc,2026Q2,2026   Q2,$19.5 B,12,PSUS,Pershing Square Usa Ltd,0.0077,Financials
psc,2026Q2,2026   Q2,$19.5 B,13,SEG,Seaport Entertainment Group,0.0069,Real Estate
psc,2026Q2,2026   Q2,$19.5 B,14,HTZ,Hertz Global Hldgs Inc.,0.0017000000000000001,Industrials
psc,2026Q1,2026   Q1,$13.7 B,1,BN,Brookfield Corp.,0.17620000000000002,Financials
psc,2026Q1,2026   Q1,$13.7 B,2,AMZN,Amazon.com Inc.,0.1739,Consumer Discretionary
psc,2026Q1,2026   Q1,$13.7 B,3,UBER,Uber Technologies Inc.,0.15710000000000002,Consumer Discretionary
psc,2026Q1,2026   Q1,$13.7 B,4,MSFT,Microsoft Corp.,0.15259999999999999,Technology
psc,2026Q1,2026   Q1,$13.7 B,5,QSR,Restaurant Brands International,0.122,Consumer Discretionary
psc,2026Q1,2026   Q1,$13.7 B,6,META,Meta Platforms Inc.,0.111,Communication Services
psc,2026Q1,2026   Q1,$13.7 B,7,HHH,Howard Hughes Holdings Inc.,0.087,Real Estate
psc,2026Q1,2026   Q1,$13.7 B,8,SEG,Seaport Entertainment Group,0.0079,Real Estate
psc,2026Q1,2026   Q1,$13.7 B,9,GOOG,Alphabet Inc. CL C,0.006500000000000001,Communication Services
psc,2026Q1,2026   Q1,$13.7 B,10,HTZ,Hertz Global Hldgs Inc.,0.0051,Industrials
psc,2026Q1,2026   Q1,$13.7 B,11,GOOGL,Alphabet Inc.,0.0007000000000000001,Communication Services
psc,2025Q4,2025   Q4,$15.5 B,1,BN,Brookfield Corp.,0.1815,Financials
psc,2025Q4,2025   Q4,$15.5 B,2,UBER,Uber Technologies Inc.,0.159,Consumer Discretionary
psc,2025Q4,2025   Q4,$15.5 B,3,AMZN,Amazon.com Inc.,0.14279999999999998,Consumer Discretionary
psc,2025Q4,2025   Q4,$15.5 B,4,GOOG,Alphabet Inc. CL C,0.1246,Communication Services
psc,2025Q4,2025   Q4,$15.5 B,5,META,Meta Platforms Inc.,0.1137,Communication Services
psc,2025Q4,2025   Q4,$15.5 B,6,QSR,Restaurant Brands International,0.1005,Consumer Discretionary
psc,2025Q4,2025   Q4,$15.5 B,7,HHH,Howard Hughes Holdings Inc.,0.0969,Real Estate
psc,2025Q4,2025   Q4,$15.5 B,8,HLT,Hilton Worldwide Holdings,0.055999999999999994,Consumer Discretionary
psc,2025Q4,2025   Q4,$15.5 B,9,GOOGL,Alphabet Inc.,0.0137,Communication Services
psc,2025Q4,2025   Q4,$15.5 B,10,SEG,Seaport Entertainment Group,0.0064,Real Estate
psc,2025Q4,2025   Q4,$15.5 B,11,HTZ,Hertz Global Hldgs Inc.,0.005,Industrials
psc,2025Q3,2025   Q3,$14.6 B,1,UBER,Uber Technologies Inc.,0.2025,Consumer Discretionary
psc,2025Q3,2025   Q3,$14.6 B,2,BN,Brookfield Corp.,0.19210000000000002,Financials
psc,2025Q3,2025   Q3,$14.6 B,3,HHH,Howard Hughes Holdings Inc.,0.1058,Real Estate
psc,2025Q3,2025   Q3,$14.6 B,4,GOOG,Alphabet Inc. CL C,0.1052,Communication Services
psc,2025Q3,2025   Q3,$14.6 B,5,QSR,Restaurant Brands International,0.10039999999999999,Consumer Discretionary
psc,2025Q3,2025   Q3,$14.6 B,6,AMZN,Amazon.com Inc.,0.0873,Consumer Discretionary
psc,2025Q3,2025   Q3,$14.6 B,7,GOOGL,Alphabet Inc.,0.08039999999999999,Communication Services
psc,2025Q3,2025   Q3,$14.6 B,8,CMG,Chipotle Mexican Grill Inc.,0.057699999999999994,Consumer Discretionary
psc,2025Q3,2025   Q3,$14.6 B,9,HLT,Hilton Worldwide Holdings,0.0537,Consumer Discretionary
psc,2025Q3,2025   Q3,$14.6 B,10,SEG,Seaport Entertainment Group,0.0079,Real Estate
psc,2025Q3,2025   Q3,$14.6 B,11,HTZ,Hertz Global Hldgs Inc.,0.0070999999999999995,Industrials
psc,2025Q2,2025   Q2,$13.7 B,1,UBER,Uber Technologies Inc.,0.2059,Consumer Discretionary
psc,2025Q2,2025   Q2,$13.7 B,2,BN,Brookfield Corp.,0.18539999999999998,Financials
psc,2025Q2,2025   Q2,$13.7 B,3,QSR,Restaurant Brands International,0.11109999999999999,Consumer Discretionary
psc,2025Q2,2025   Q2,$13.7 B,4,AMZN,Amazon.com Inc.,0.0931,Consumer Discretionary
psc,2025Q2,2025   Q2,$13.7 B,5,HHH,Howard Hughes Holdings Inc.,0.09269999999999999,Real Estate
psc,2025Q2,2025   Q2,$13.7 B,6,CMG,Chipotle Mexican Grill Inc.,0.08810000000000001,Consumer Discretionary
psc,2025Q2,2025   Q2,$13.7 B,7,GOOG,Alphabet Inc. CL C,0.0817,Communication Services
psc,2025Q2,2025   Q2,$13.7 B,8,GOOGL,Alphabet Inc.,0.0688,Communication Services
psc,2025Q2,2025   Q2,$13.7 B,9,HLT,Hilton Worldwide Holdings,0.0588,Consumer Discretionary
psc,2025Q2,2025   Q2,$13.7 B,10,HTZ,Hertz Global Hldgs Inc.,0.0076,Industrials
psc,2025Q2,2025   Q2,$13.7 B,11,SEG,Seaport Entertainment Group,0.0068000000000000005,Real Estate
psc,2025Q1,2025   Q1,$11.9 B,1,UBER,Uber Technologies Inc.,0.185,Consumer Discretionary
