ticker,n_trades,n_buy,n_sell,net_signed_usd,n_politicians,issuer,sector,buy_pct,consensus
BE:US,4,4,0,7500000.0,1,Bloom Energy Corp,Industrials,1.0,BUY
GS:US,16,16,0,3100000.0,1,The Goldman Sachs Group Inc,Financials,1.0,BUY
INTC:US,2,2,0,1125000.0,1,Intel Corp,Technology,1.0,BUY
TD:US,2,2,0,250000.0,1,The Toronto-Dominion Bank,Financials,1.0,BUY
JPM:US,2,1,1,167000.0,2,JPMorgan Chase & Co,Financials,0.5,BUY
GEHC:US,13,13,0,104000.0,1,GE HEALTHCARE TECHNOLOGI INC,Healthcare,1.0,BUY
CHWY:US,9,9,0,72000.0,1,Chewy Inc,Consumer Discretionary,1.0,BUY
UBER:US,8,8,0,64000.0,1,Uber Technologies Inc,Consumer Discretionary,1.0,BUY
MRVL:US,3,3,0,48500.0,1,Marvell Technology Inc,Technology,1.0,BUY
HCA:US,2,2,0,40500.0,2,HCA Healthcare Inc,Healthcare,1.0,BUY
TXN:US,2,2,0,40500.0,1,Texas Instruments Inc,Technology,1.0,BUY
B:US,2,2,0,40500.0,2,Berkshire Hathaway Inc,Materials,1.0,BUY
AXAHY:US,1,1,0,32500.0,1,"Axa, Paris",Financials,1.0,BUY
SPTI:US,1,1,0,32500.0,1,SPDR Bloomberg Barclays Intermediate Term Treasury ETF,Financials,1.0,BUY
UPST:US,1,1,0,32500.0,1,UPSTART HOLDINGS INC,Financials,1.0,BUY
MFG:US,1,1,0,32500.0,1,Mizuho Financial Group Inc,Financials,1.0,BUY
V:US,3,2,1,32500.0,2,Visa Inc,Financials,0.6666666666666666,BUY
EWJ:US,1,1,0,32500.0,1,iShares International Equity- ETFs  iShares MSCI Japan ETF,Unknown,1.0,BUY
BAC:US,1,1,0,32500.0,1,Bank of America Corp,Financials,1.0,BUY
NOW:US,1,1,0,32500.0,1,ServiceNow Inc,Technology,1.0,BUY
INTU:US,3,3,0,24000.0,1,Intuit Inc,Technology,1.0,BUY
AVGO:US,3,3,0,24000.0,3,Broadcom Inc,Technology,1.0,BUY
